barcode;name;brand;category;reference;arcor_code;arcor_desc;confidence
7790580119058;BON O BON BLANCO x 30u;ARCOR;CHOCOLATES;11905;1011905;BON O BON BLANCO 12 X 30 X 15 Gr.;alta
7790580117771;BON O BON CHOCOLINAS 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES;1011777;1011777;BON O BON CHOCOLINAS 16 X 18 X 15 Gr.;arcor-catalog
7790580117771;BON O BON CHOCOLINAS x 18u;ARCOR;CHOCOLATES;11777;1011777;BON O BON CHOCOLINAS 16 X 18 X 15 Gr.;alta
;BON O BON COCO 18x15g;ARCOR;;14670;;;sin-match
7790580119157;BON O BON LECH x 18u;ARCOR;CHOCOLATES;11915;1011915;BON O BON LECHE 16 X 18 X 15 Gr.;alta
7790580119133;BON O BON LECHE 12 X 30 X 15 Gr.;ARCOR;CHOCOLATES;1011913;1011913;BON O BON LECHE 12 X 30 X 15 Gr.;arcor-catalog
7790580119157;BON O BON LECHE 16 X 18 X 15 Gr.;ARCOR;CHOCOLATES;1011915;1011915;BON O BON LECHE 16 X 18 X 15 Gr.;arcor-catalog
7790580119164;BON O BON LECHE 24 X 7 X 15 Gr.;ARCOR;CHOCOLATES;1011916;1011916;BON O BON LECHE 24 X 7 X 15 Gr.;arcor-catalog
7790580119164;BON O BON LECHE X7U;ARCOR;CHOCOLATES;11916;1011916;BON O BON LECHE 24 X 7 X 15 Gr.;alta
7790580119133;BON O BON LECHE x30u;ARCOR;CHOCOLATES;11913;1011913;BON O BON LECHE 12 X 30 X 15 Gr.;alta
7790580119126;BON O BON SURTIDO 24 X 272 Gr.;ARCOR;CHOCOLATES;1011912;1011912;BON O BON SURTIDO 24 X 272 Gr.;arcor-catalog
7790580119126;BON O BON SURTIDO X17U;ARCOR;CHOCOLATES;11912;1011912;BON O BON SURTIDO 24 X 272 Gr.;alta
;BROWNIE ARCOR S/TACC x425g;ARCOR;;13796;;;sin-match
7790580118853;BUTTER BON O BON x822g;ARCOR;GOLOSINAS;11885;1011885;COLADOS LECHE ARCOR BON O BON 6 x 822 Gr.;alta
7790580118426;BUTTER CREAM x 810gr;ARCOR;GOLOSINAS;11842;1011842;COLADOS DUROS ARCOR BUTTER N CREAM 6 x 810 Gr.;alta
;BUTTER CREAM x675g.;ARCOR;;14720;;;sin-match
;BUTTER DURO DL/RELLE CHOC x810g;ARCOR;;14736;;;sin-match
7790580118860;BUTTER MINT. X822G;ARCOR;GOLOSINAS;11886;1011886;COLADOS LECHE ARCOR CHOKKO MINT 6 x 822 Gr.;alta
;BUTTER POTE AUTO x100g;ARCOR;;13414;;;sin-match
7790580118839;BUTTER TOFF CHOC BLANCO x 822gr;ARCOR;GOLOSINAS;11883;1011883;COLADOS LECHE ARCOR CHOCOLATE BLANCO 6 x 822 Gr.;alta
7790580118785;BUTTER TOFF CHOCOLATE X 822gr;ARCOR;GOLOSINAS;11878;1011878;COLADOS LECHE ARCOR CHOCOLATE 6 x 822 Gr.;alta
;BUTTER TOFFEES AVELLANAS x648g;ARCOR;;13409;;;sin-match
7790580118587;BUTTER TOFFEES CAFE x820g;ARCOR;GOLOSINAS;11858;1011858;COLADOS LECHE ARCOR CAFÉ 6 x 822 Gr.;alta
7790580118877;BUTTER TOFFEES D LECHE x 822g;ARCOR;GOLOSINAS;11887;1011887;COLADOS LECHE ARCOR DULCE DE LECHE 6 x 822 Gr.;alta
;BUTTER TOFFEES DDL x810g;ARCOR;;13902;;;sin-match
7790580118570;BUTTER TOFFEES LECHE x825g;ARCOR;GOLOSINAS;11857;1011857;COLADOS LECHE ARCOR LECHE 6 x 825 Gr.;alta
7790580118846;BUTTER TOFFES AGUILAx822g.;ARCOR;GOLOSINAS;11884;1011884;COLADOS LECHE ARCOR AGUILA 6 x 822 Gr.;alta
;CABSHA AVELLANA 24x10Gr.;ARCOR;;14349;;;sin-match
;CABSHA MARROC 24x10g;ARCOR;;13215;;;sin-match
7790580402907;CACAO EN POLVO ARCOR ARCOA 20 X 360 Gr.;ARCOR;ALIMENTOS;1004029;1004029;CACAO EN POLVO ARCOR ARCOA 20 X 360 Gr.;arcor-catalog
7790580402808;CACAO EN POLVO ARCOR ARCOA 32 X 180 Gr.;ARCOR;ALIMENTOS;1004028;1004028;CACAO EN POLVO ARCOR ARCOA 32 X 180 Gr.;arcor-catalog
7790580128524;CAR. ARCOR CHERRY x 800gr;ARCOR;GOLOSINAS;12852;1012852;COLADOS DUROS ARCOR CHERRY 10 x 800 Gr.;alta
7790580344207;CAR. BASTON VIENA x 470 Gr.;ARCOR;GOLOSINAS;3442;1003442;RELLENOS ARCOR BASTÓN VIENA 12 x 470 Gr.;alta
;CAR. BC SURTIDO x420g;ARCOR;;13110;;;sin-match
7790580102869;CAR. CRISTAL MIX X810G;ARCOR;GOLOSINAS;11860;1011860;COLADOS DUROS ARCOR MIX CRISTALES 6 x 810 Gr.;alta
7790580118358;CAR. FRESH CRISTAL x405g.;ARCOR;GOLOSINAS;11835;1011835;COLADOS DUROS ARCOR FRESH CRISTAL 12 x 405 Gr.;alta
;CAR. GAJITOS SURTIDO x84g.;ARCOR;;15219;;;sin-match
7790580470906;CAR. GAJITOS x485g.;ARCOR;GOLOSINAS;10885;1010885;DUROS ARCOR GAJITOS 12 x 485 Gr.;alta
7790580118273;CAR. MENTA CHOCOLATE x715g;ARCOR;GOLOSINAS;11827;1011827;RELLENOS ARCOR MENTA CHOCOLATE 6 x 715 Gr.;alta
7790580118341;CAR. MENTA CRISTAL x810g.;ARCOR;GOLOSINAS;11834;1011834;COLADOS DUROS ARCOR MENTA CRISTAL 6 x 810 Gr.;alta
;CAR. MENTA CRISTAL x81g.;ARCOR;;15217;;;sin-match
;CAR. MOGUL JELLY BEANS x80g.;ARCOR;;15173;;;sin-match
7790580118297;CAR. RELL MIEL+MTA x335gr;ARCOR;GOLOSINAS;11829;1011829;RELLENOS ARCOR RELLENO MIEL + MENTA 12 x 335 Gr.;alta
7790580118280;CAR. RELLENO MIEL x 675g;ARCOR;GOLOSINAS;11828;1011828;RELLENOS ARCOR RELLENOS MIEL 6 x 675 Gr.;alta
7790580296506;CAR. RODAJAS CRAZY X465G;ARCOR;GOLOSINAS;2965;1002965;DUROS ARCOR RODAJAS CRAZY 12 x 465 Gr.;alta
7790580214104;CAR. RODAJAS SURT x930G;ARCOR;GOLOSINAS;2141;1002141;DUROS ARCOR RODAJAS 6 x 930 Gr.;alta
7790580471309;CAR. SAQ. DE FRUTA x 810 Gr.;ARCOR;GOLOSINAS;4713;1004713;RELLENOS ARCOR RELLENOS FRUTALES 6 x 810 Gr.;alta
;CARAMELO VITACAL 60x8g;ARCOR;;14082;;;sin-match
7790580607401;CELOFAN BCO.x25Gr.;ARCOR;CHOCOLATES;6074;1006074;CHOCOLATE 25 GR. ARCOR BLANCO 12 X 30 X 25 Gr.;alta
7790580120399;CELOFAN CACAO 50% X25GR;ARCOR;CHOCOLATES;12039;1012039;CHOCOLATE 25 GR. ARCOR 50% CACAO 12 X 30 X 25 Gr.;alta
7790580607203;CELOFAN LECHE x25Gr.;ARCOR;CHOCOLATES;6072;1006072;CHOCOLATE 25 GR. ARCOR LECHE 12 X 30 X 25 Gr.;alta
7790580125769;CELOFAN MANI x 25g;ARCOR;CHOCOLATES;12576;1012576;CHOCOLATE 25 GR. ARCOR LECHE CON MANÍ 12 X 30 X 25 Gr.;alta
;CEREAL MIX FRUT/CHOC x28g;ARCOR;;13364;;;sin-match
;CEREAL MIX LIGHT MANZ.x23Gr.;ARCOR;;3792;;;sin-match
