barcode;name;brand;category
7790580003463;COFLER AIRE BLANCO/LECHE X 100gr;ARCOR;CHOCOLATES
7790580003418;COFLER AIRE BLANCOx55g.;ARCOR;CHOCOLATES
7790580127152;COFLER AIRE BON O BON x 30g;ARCOR;CHOCOLATES
7790580115869;COFLER AIRE BONoBONx67g.;ARCOR;CHOCOLATES
7790580003364;COFLER AIRE LECHE  X 27g;ARCOR;CHOCOLATES
7790580043407;COFLER AIRE LECHE X55gr;ARCOR;CHOCOLATES
7790580003449;COFLER AIRE LECHE x100g.;ARCOR;CHOCOLATES
7790580115845;COFLER AIRE TOFIx70g..;ARCOR;CHOCOLATES
7790580003395;COFLER AIREADO ALMENDRAS 8 X 20 X 27 Gr.;ARCOR;CHOCOLATES
7790580128999;COFLER ALMENDRAS x  140gr;ARCOR;CHOCOLATES
7790580123994;COFLER BLOCK ALFA BLOCK 8 X 20 X 40 Gr.;ARCOR;CHOCOLATES
7790580103743;COFLER BLOCK LECHE CON MANÍ 24 X 300 Gr.;ARCOR;CHOCOLATES
7790580108519;COFLER BLOCK LECHE CON MANÍ 64 X 170 Gr.;ARCOR;CHOCOLATES
7790580115579;COFLER BLOCK LECHE CON MANÍ 8 X 1 Kg.;ARCOR;CHOCOLATES
7790580110031;COFLER BLOCK LECHE CON MANÍ 8 X 12 X 110 Gr.;ARCOR;CHOCOLATES
7790580531201;COFLER BLOCK LECHE CON MANÍ 8 X 20 X 38 Gr.;ARCOR;CHOCOLATES
7790580128982;COFLER CHOCOLINA  BCO x 140gr;ARCOR;CHOCOLATES
7790580003531;COFLER CHOCOLINA x55g;ARCOR;CHOCOLATES
7790580105655;COFLER CHOCOLINAS BLANCO X 100gr;ARCOR;CHOCOLATES
7790580120559;COFLER EXTRA BARRA COFLER CHOCOLINAS 6 X 20 X 30 Gr.;ARCOR;CHOCOLATES
7790580115692;COFLER EXTRA BARRA COFLER EXTRA BON O BON 6 X 20 X 35 Gr.;ARCOR;CHOCOLATES
7790580103835;COFLER EXTRA BARRA COFLER EXTRA COCO 6 X 20 X 32 Gr.;ARCOR;CHOCOLATES
7790580955106;COFLER EXTRA BARRA COFLER EXTRA MENTA 6 X 20 X 30 Gr.;ARCOR;CHOCOLATES
7790580619602;COFLER EXTRA MARROC;ARCOR;CHOCOLATES
7790580124069;COFLER GRAFFITI 45g;ARCOR;CHOCOLATES
7790580124045;COFLER GRAFFITI BCO x45g;ARCOR;CHOCOLATES
7790580043506;COFLER LEC/ALME x55g;ARCOR;CHOCOLATES
7790580003579;COFLER LECHE X 100gr;ARCOR;CHOCOLATES
7790580128975;COFLER LECHE x 140gr;ARCOR;CHOCOLATES
7790580003487;COFLER LECHE x55g;ARCOR;CHOCOLATES
7790580003562;COFLER MACIZO ALMENDRAS 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES
7790580123956;COFLER MACIZO CHOCOTITAS 12 X 10 X 64 Gr.;ARCOR;CHOCOLATES
7790580003524;COFLER MACIZO ROCKLETS 12 X 10 X 55 Gr.;ARCOR;CHOCOLATES
7790580003555;COFLER MACIZO ROCKLETS 4 X 16 X 100 Gr.;ARCOR;CHOCOLATES
7790580123949;COFLER MACIZO YOGURT DE FRUTILLA 12 X 10 X 64 Gr.;ARCOR;CHOCOLATES
7790580003753;COFLER RELLENOS BLANCO CON DULCE DE LECHE 8 X 20 X 42 Gr.;ARCOR;CHOCOLATES
7790580123987;COFLER RELLENOS COCO Y DULCE DE LECHE 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES
7790580255602;COFLER RELLENOS DULCE DE LECHE 8 X 20 X 42 Gr.;ARCOR;CHOCOLATES
7790580123963;COFLER RELLENOS MOUSSE DE AVELLANAS 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES
7790580123970;COFLER RELLENOS YOGHURT FRUTILLA 8 X 20 X 35 Gr.;ARCOR;CHOCOLATES
7790580470609;COLADOS DUROS ARCOR MENTA CRISTAL 36 x 150 Gr.;ARCOR;GOLOSINAS
7790580128531;COLADOS DUROS ARCOR STRONG 10 x 800 Gr.;ARCOR;GOLOSINAS
7790580101978;COLADOS LECHE ARCOR BON O BON 36 x 150 Gr.;ARCOR;GOLOSINAS
7790580151300;COLADOS LECHE ARCOR CHOCOLATE 36 x 150 Gr.;ARCOR;GOLOSINAS
7790580127374;COLADOS LECHE ARCOR COCO 6 x 822 Gr.;ARCOR;GOLOSINAS
7790580151201;COLADOS LECHE ARCOR LECHE 36 x 150 Gr.;ARCOR;GOLOSINAS
7790580426606;CONF ROCKLETS MINI 44u x10g;ARCOR;CHOCOLATES
7790580397203;CONOS CONO BON O BON 14 X 135 Cc.;ARCOR;HELADOS
7790580127121;CONOS CUCURUCHO ARCOR CHOCOLATE/AMERICANA 12 X 120 Cc.;ARCOR;HELADOS
7790580111472;CONOS CUCURUCHO ARCOR DDL/AMERICANA 12 X 120 Cc.;ARCOR;HELADOS
7790580111489;CONOS CUCURUCHO ARCOR FRUTILLA/ AMERICANA 12 X 120 Cc.;ARCOR;HELADOS
7790580982508;CONOS CUCURUCHO COFLER AMERICANA/DDL 14 X 135 Cc.;ARCOR;HELADOS
7790580110208;CREMINO SURT.x940g;ARCOR;GOLOSINAS
7790580505806;DULCE MEMBRILLO ARCOR CAJÓN 5 Kg.;ARCOR;ALIMENTOS
7790580504601;DULCE MEMBRILLO ARCOR ESTUCHE 12 X 500 Gr.;ARCOR;ALIMENTOS
7790580470807;DUROS ARCOR GAJITOS 36 x 150 Gr.;ARCOR;GOLOSINAS
7790580111083;FLANES GODET DULCE DE LECHE 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580111076;FLANES GODET VAINILLA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580587307;FLICS FRUTA x14u.;ARCOR;GOLOSINAS
7790580587109;FLICS MENTA 30 x 14 x 12,6 Gr.;ARCOR;GOLOSINAS
7790580113445;GELATINA MOGUL CEREZA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580113346;GELATINA MOGUL FRUTILLA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580113353;GELATINA MOGUL MANZANA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580127794;GELATINA MOGUL SANDÍA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580113377;GELATINA MOGUL UVA 48 X 30 Gr.;ARCOR;ALIMENTOS
7790580110727;GELATINAS BC ANANÁ LIGHT 48 X 20 Gr.;ARCOR;ALIMENTOS
7790580110994;GELATINAS BC CEREZA LIGHT 48 X 20 Gr.;ARCOR;ALIMENTOS
7790580113322;GELATINAS BC DURAZNO LIGHT 48 X 20 Gr.;ARCOR;ALIMENTOS
7790580110987;GELATINAS BC FRUTILLA LIGHT 48 X 20 Gr.;ARCOR;ALIMENTOS
